450.97062|ISTEP 13.13 - mss_draminit_mc
451.10585|FAPI|port.C: memcal interval 83312500ck, zqcal interval 17772889ck
451.10590|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010912 FFFFFFFFFFFFFFF0
451.10594|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A0A 0890C23810800000
451.10599|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A0A 0890C23F10800000
451.10601|FAPI|gen_mss_port.H: Enable marks from MVPD pu.mca:k0:n0:s0:p00:c1
451.10603|FAPI|unmask.C: unmask mss fir after draminit_mc
451.10607|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012306 0000000000000000
451.10612|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012307 4004000000000000
451.10616|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012306 0020000000000000
451.10621|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012307 4004000000000000
451.10625|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012304 FFDFFFFFFFFFFFFF
451.10630|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012306 0020000000000000
451.10833|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012307 4004000000000000
451.10837|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012306 0020000000000000
451.10841|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012307 5004000000000000
451.10846|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012304 EFFFFFFFFFFFFFFF
451.10853|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A0A 0890C23F10800000
451.14507|FAPI|gen_mss_port.H: Read ECC Control register is 0x0890c23f10800000 for pu.mca:k0:n0:s0:p00:c1
451.14508|FAPI|port.H: Set ENABLE_UE_NOISE_WINDOW to 0
451.14512|FAPI|gen_mss_port.H: Change Read ECC Control register to 0x0890c21f10800000 for pu.mca:k0:n0:s0:p00:c1
451.14517|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A0A 0890C21F10800000
451.14524|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A06 0000000000000000
451.14529|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A07 0000000000000000
451.14533|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A06 0000000000000000
451.14538|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A07 0000000048640000
451.14542|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A04 FFFFFFFFB781000F
451.14544|FAPI|p9_mss_draminit_mc.C: End draminit MC
451.14546|ISTEPS_TRACE|SUCCESS running p9_mss_draminit_mc HWP on target HUID 00250000
451.14615|ISTEPS_TRACE|call_mss_draminit_mc exit
451.45679|SCOM|doMulticastWorkaround on 00050000 for 50040018
451.45734|SCOM|doMulticastWorkaround on 00050000 for 50040009
451.45798|ERRL|I>Got an error log Msg - Type: 0x00000039
451.45799|ERRL|I>Flush message received
451.45801|INITSVC|<<doIstep: step 13, substep 13
451.45803|INITSVC|>>doIstep: step 14, substep 1, task mss_memdiag
