474.16304|ISTEP 15. 4 - host_start_stop_engine
474.26101|FAPI|p9_pm_pfet_init.C: Set PFET values into Core chiplet  4
474.26105|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c4 : 00000000200F011B 9900000000000000
474.26110|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c4 : 00000000200F011D 8800000000000000
474.26112|FAPI|p9_pm_pfet_init.C: Set PFET values into Core chiplet  7
474.26116|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c7 : 00000000200F011B 9900000000000000
474.26121|SCAN|TRACE : PUTSCOM     :  pu.core:k0:n0:s0:p00:c7 : 00000000200F011D 8800000000000000
474.26123|FAPI|p9_pm_pfet_init.C: Set PFET values into Cache chiplet  0
474.26128|SCAN|TRACE : PUTSCOM     :  pu.eq:k0:n0:s0:p00:c0 : 00000000100F011B 9900000000000000
474.26132|SCAN|TRACE : PUTSCOM     :  pu.eq:k0:n0:s0:p00:c0 : 00000000100F011D 8800000000000000
474.26134|FAPI|p9_pm_pfet_init.C: Set PFET values into Cache chiplet  1
474.26138|SCAN|TRACE : PUTSCOM     :  pu.eq:k0:n0:s0:p00:c1 : 00000000100F011B 9900000000000000
474.26143|SCAN|TRACE : PUTSCOM     :  pu.eq:k0:n0:s0:p00:c1 : 00000000100F011D 8800000000000000
474.26144|FAPI_I|p9_pm_pfet_init.C: Exiting p9_pm_pfet_init
474.27484|FAPI_I|p9_pm_pba_init.C: > p9_pm_pba_init
474.28885|FAPI_I|p9_pm_pba_init.C: >> pba_reset ...
474.28886|FAPI_I|p9_pm_pba_init.C: >>> pba_bc_stop...
474.28889|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068010 8000000000000000
474.28892|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068015 8000000000000000
474.28895|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000068012 0000000000000000
474.28898|FAPI|p9_pm_pba_init.C: BCDE Running Bit clear to indicate the stop condition
474.28901|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000068017 0000000000000000
474.28903|FAPI|p9_pm_pba_init.C: BCUE Running Bit is clear, indicates the stop condition
474.28904|FAPI|p9_pm_pba_init.C: Clear the BCDE and BCUE stop bits.
474.28907|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068010 0000000000000000
474.28911|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068015 0000000000000000
474.28912|FAPI_I|p9_pm_pba_init.C: <<< pba_bc_stop...
474.28913|FAPI_I|p9_pm_pba_init.C: >> pba_slave_reset
474.28915|FAPI|p9_pm_pba_init.C: Reseting PBA Slave 0
474.28918|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068001 8000000000000000
474.28921|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000068001 0000000000000000
474.28922|FAPI|p9_pm_pba_init.C: PBA Reset complete for Slave 0
474.28923|FAPI|p9_pm_pba_init.C: Reseting PBA Slave 1
474.28926|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068001 A000000000000000
474.28929|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000068001 0000000000000000
474.28931|FAPI|p9_pm_pba_init.C: PBA Reset complete for Slave 1
474.28932|FAPI|p9_pm_pba_init.C: Reseting PBA Slave 2
474.28935|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068001 C000000000000000
474.28938|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000068001 0000000000000000
474.28940|FAPI|p9_pm_pba_init.C: PBA Reset complete for Slave 2
474.28941|FAPI_I|p9_pm_pba_init.C: << pba_slave_reset
474.28944|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068013 0000000000000000
474.28947|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068014 0000000000000000
474.28950|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068015 0000000000000000
474.28953|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068016 0000000000000000
474.28956|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068018 0000000000000000
474.28959|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068019 0000000000000000
474.28962|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068026 0000000000000000
474.28965|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006802A 0000000000000000
474.28968|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068027 0000000000000000
474.28971|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006802B 0000000000000000
474.28974|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068004 0000000000000000
474.28977|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068005 0000000000000000
474.28980|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068006 0000000000000000
474.28983|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000005012840 0000000000000000
474.28986|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501284C 0000000000000000
474.28988|FAPI|p9_pm_pba_init.C: Resetting PBACFG with value = 0x         2000000
474.28991|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000501284B 0000000002000000
474.28995|FAPI|p9_pm_pba_init.C: Resetting PBAX errors via PBAX config register 0x00068021 with value = 0x3000000000000000
474.28998|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068021 3000000000000000
474.28999|FAPI_I|p9_pm_pba_init.C: >> pba_slave_setup_boot_phase
474.29000|FAPI|p9_pm_pba_init.C: Initialize PBA Mode ...
474.29003|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068000 00A0BA9000000000
474.29004|FAPI|p9_pm_pba_init.C: Initialize PBA Slave 0 ...
474.29007|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068004 B7005E0000000000
474.29008|FAPI|p9_pm_pba_init.C: Initialize PBA Slave 1 ...
474.29011|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068005 D5005E4000000000
474.29012|FAPI|p9_pm_pba_init.C: Initialize PBA Slave 2 ...
474.29015|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000068006 A7005E4000000000
474.29017|FAPI|p9_pm_pba_init.C: Skipping PBA Slave 3 as this is owned by SBE ...
474.29018|FAPI_I|p9_pm_pba_init.C: << pba_slave_setup_boot_phase
474.29019|FAPI_I|p9_pm_pba_init.C: << pba_reset ...
474.29021|FAPI_I|p9_pm_pba_init.C: < p9_pm_pba_init
474.30570|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000001020007 0000900000000000
474.30573|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006C006 0100000000000000
474.30576|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006C001 0100000000000000
474.30580|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000066000 1A00000000000000
474.30583|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 000000000006C18B 0000000200000000
474.30734|FAPI_I|p9_pm_stop_gpe_init.C: >> stop_gpe_init
474.30736|FAPI|p9_pm_stop_gpe_init.C: >> get_functional_chiplet_info
474.30748|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C094 F000000000000000
474.30749|FAPI|p9_pm_stop_gpe_init.C: QCS  Val 0xF000000000000000
474.30751|FAPI|p9_pm_stop_gpe_init.C: Func EX 0 
474.30752|FAPI|p9_pm_stop_gpe_init.C: Func EQ 0 
474.30754|FAPI|p9_pm_stop_gpe_init.C: Func EX 1 
474.30755|FAPI|p9_pm_stop_gpe_init.C: Func EX 2 
474.30757|FAPI|p9_pm_stop_gpe_init.C: Func EQ 1 
474.30758|FAPI|p9_pm_stop_gpe_init.C: Func EX 3 
474.30762|FAPI|p9_pm_stop_gpe_init.C: << get_functional_chiplet_info
474.30765|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C08A 0000000000000000
474.30767|FAPI|p9_pm_stop_gpe_init.C:    Writing IVPR with 0x8010020000000000
474.30770|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000066001 8010020000000000
474.30773|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000066010 6000000000000000
474.30776|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000066010 4000000000000000
474.30779|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000066010 2000000000000000
474.30782|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C08A 0000000000000000
474.30785|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066021 0001200000000000
474.30788|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066025 FFF3F99800000000
474.30792|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066024 1788000000000000
474.30798|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C08A 0000000000000000
474.30801|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066021 0001100000000000
474.30804|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066025 FFF3F99400000000
474.30807|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066024 4200FFF000000000
474.30813|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C08A 0000000000000000
474.30816|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066021 0001200000000000
474.30819|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066025 FFF3637400000000
474.30822|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066024 80A1004000000000
474.30828|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C08A 0000000000000000
474.30831|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066021 0001100000000000
474.30834|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066025 FFF2DF1C00000000
474.30837|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066024 9923001100000000
474.30843|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 000000000006C08A 0080000000000000
474.30846|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066021 0003100000000000
474.30849|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066025 FFF2D82C00000000
474.30852|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000066024 7C60012400000000
474.30856|FAPI|p9_pm_stop_gpe_init.C: SGPE was activated successfully!!!!
474.30857|FAPI_I|p9_pm_stop_gpe_init.C: << stop_gpe_init
474.30859|FAPI|p9_pm_stop_gpe_init.C: << p9_pm_stop_gpe_init
474.30861|ISTEPS_TRACE|call_host_start_stop_engine exit
475.64462|ERRL|I>Got an error log Msg - Type: 0x00000039
475.64464|ERRL|I>Flush message received
475.64466|INITSVC|<<doIstep: step 15, substep 4
475.64468|INITSVC|>>doIstep: step 16, substep 1, task host_activate_master
