  6.47014|ISTEP  6. 5 - host_init_fsi
  6.88686|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/7 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
  6.88688|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
  6.88695|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/8 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
  6.88696|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
  6.88703|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/9 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
  6.88705|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
  6.88711|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/10 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
  6.88713|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
  6.88720|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/11 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
  6.88722|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
  6.88729|I2C|I>Not doing i2cForceResetAndUnlock() for target=0x00050000: e/p= 2/12 due to P9 diag mode limitations.  Disable diag mode on e2 = 1, secure mode enabled = 0
  6.88731|I2C|I>i2cForceResetAndUnlock(): muxSelector=0xFF, muxPath=NULL
  6.88735|I2C|I>i2cProcessActiveMasters: Reset/Setup tgt=0x50000 engine=3
  6.88737|I2C|I>i2cProcessActiveMasters: reset engine: 3, reset_level=1
  6.88740|I2C|I>i2cForceResetAndUnlock() - Performing op on engine=3, port=0
  6.88746|I2C|I>i2cForceResetAndUnlock() - Performing op on engine=3, port=1
  6.88757|I2C|<<i2cProcessActiveMasters(): err rc=0x0, plid=0x0
  6.88758|I2C|<<i2cResetActiveMasters(): err rc=0x0, plid=0x0
  6.96379|ERRL|I>Got an error log Msg - Type: 0x00000039
  6.96381|ERRL|I>Flush message received
  6.96616|INITSVC|<<doIstep: step 6, substep 5
  6.96618|INITSVC|>>doIstep: step 6, substep 6, task host_set_ipl_parms
