482.20175|ISTEP 18.11 - proc_tod_setup
482.36665|ISTEPS_TRACE|>> TOD:: checkGardStatusOfTarget
482.36666|ISTEPS_TRACE|<< TOD:: Target 0x00050000 is not garded
482.36667|ISTEPS_TRACE|<< TOD:: 
482.36668|ISTEPS_TRACE|>> TOD:: setMdmt
482.36668|ISTEPS_TRACE|>> TOD:: setMasterType
482.36670|ISTEPS_TRACE|I> TOD:: Proc 0X00050000 is the drawer master for TOD drawer 0x00
482.36671|ISTEPS_TRACE|I> TOD:: Proc 0X00050000 is a TOD master
482.36672|ISTEPS_TRACE|<< TOD:: setMasterType
482.36673|ISTEPS_TRACE|I> TOD:: MDMT for configuration 0x01 is proc 0x00050000, 
482.36674|ISTEPS_TRACE|<< TOD:: 
482.36675|ISTEPS_TRACE|I> TOD:: MDMT for configuration 0x01, is proc 0x00050000
482.36676|ISTEPS_TRACE|<< TOD:: 
482.36677|ISTEPS_TRACE|I> TOD:: TOD drawer(0x00) is the master drawer
482.36677|ISTEPS_TRACE|>> TOD:: 
482.36678|ISTEPS_TRACE|I> TOD:: TOD drawer id 0x00
482.36679|ISTEPS_TRACE|>> TOD:: 
482.36680|ISTEPS_TRACE|<< TOD:: 
482.36682|ISTEPS_TRACE|>> TOD:: Source proc HUID = 0x00050000 Destination proc HUID = 0x00050000 Bus type for connection = 0x0000000E 
482.36684|ISTEPS_TRACE|I> TOD:: This and the destination are the same procs
482.36685|ISTEPS_TRACE|<< TOD:: connect. errHdl = 0x0
482.36685|ISTEPS_TRACE|>> TOD:: addChild
482.36686|ISTEPS_TRACE|<< TOD:: addChild
482.36687|ISTEPS_TRACE|<< TOD:: 
482.36688|ISTEPS_TRACE|<< TOD:: 
482.36688|ISTEPS_TRACE|>> TOD:: dumpTopology
482.36689|ISTEPS_TRACE|I> TOD:: TOPOLOGY DUMP> Start, topology type SECONDARY
482.36690|ISTEPS_TRACE|I> TOD:: TOPOLOGY DUMP> TOD Drawer(0x00)
482.36692|ISTEPS_TRACE|I> TOD:: TOPOLOGY DUMP> parent---bus out---bus in---child
482.36692|ISTEPS_TRACE|I> TOD:: Proc 0x00050000 is the MDMT
482.36693|ISTEPS_TRACE|I> TOD:: TOPOLOGY DUMP> End
482.36694|ISTEPS_TRACE|<< TOD:: dumpTopology
482.36695|ISTEPS_TRACE|>> TOD:: 
482.36697|ISTEPS_TRACE|I> TOD:: For topology 0x00000001  Passing OSC 0x00000000  to  p9_tod_setup 
482.36699|FAPI|p9_tod_setup.C: Configuring Secondary topology (OSC0 is connected, OSC1 is not connected)
482.36701|FAPI|p9_tod_setup.C: pu:k0:n0:s0:p00 (Delay = 6)
482.36703|FAPI|p9_tod_setup.C: Clearing previous Secondary topology from pu:k0:n0:s0:p00
482.36705|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040004 0000000000000000
482.36707|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040002 0000000000000000
482.36709|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040007 6000000000000000
482.36712|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040007 6060000000000000
482.36714|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040004 0000000000000000
482.36716|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040002 0000000000000000
482.36718|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040004 0000000000000000
482.36720|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040002 0000000000000000
482.36723|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000050018 000EF30C00000000
482.36725|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040000 4083000000000000
482.36728|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040000 4083000000000000
482.36730|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040003 0000000000000000
482.36732|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040003 0000000006000000
482.36734|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040006 03F300043B000000
482.36736|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040006 00F300043B000000
482.36739|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040010 003F000000000000
482.36741|SCAN|TRACE : PUTSCOM     :  pu:k0:n0:s0:p00 : 0000000000040010 003F000000000000
482.36742|ISTEPS_TRACE|<< TOD:: 
482.36742|ISTEPS_TRACE|>> TOD:: 
482.36744|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040000 4083000000000000
482.36747|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040001 0000000006000000
482.36749|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040002 0000000000000000
482.36751|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040003 0000000006000000
482.36753|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040004 0000000000000000
482.36755|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040005 0000003F00000000
482.36757|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040006 03F300043B000000
482.36759|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040007 6060000000000000
482.36761|SCAN|TRACE : GETSCOM     :  pu:k0:n0:s0:p00 : 0000000000040010 003F000000000000
482.36762|ISTEPS_TRACE|<< TOD:: 
482.36763|ISTEPS_TRACE|>> TOD:: 
482.36764|ISTEPS_TRACE|<< TOD:: 
482.36764|ISTEPS_TRACE|>> TOD:: 
482.36765|ISTEPS_TRACE|I> TOD:: TOD REGDUMP> Start, topology type PRIMARY
482.36766|ISTEPS_TRACE|I> TOD:: TOD REGDUMP> TOD Drawer(0x00)
482.36767|ISTEPS_TRACE|I> TOD:: TOD REGDUMP> Proc HUID 0x00050000
482.36768|ISTEPS_TRACE|I> TOD:: TOD REGDUMP> This proc is the MDMT
482.36770|ISTEPS_TRACE|I> TOD:: TOD REGDUMP> MASTER PATH CONTROL REG 0x0000000040830000
482.36771|ISTEPS_TRACE|I> TOD:: TOD REGDUMP> PORT 0 PRIMARY CONFIG REG 0x0000000000000000
482.36773|ISTEPS_TRACE|I> TOD:: TOD REGDUMP> PORT 1 PRIMARY CONFIG REG 0x0000000000000000
482.36774|ISTEPS_TRACE|I> TOD:: TOD REGDUMP> PORT 0 SECONDARY CONFIG REG 0x0000000000000000
482.36776|ISTEPS_TRACE|I> TOD:: TOD REGDUMP> PORT 1 SECONDARY CONFIG REG 0x0000000000000000
482.36778|ISTEPS_TRACE|I> TOD:: TOD REGDUMP> SLAVE PATH CONTROL REG 0x000000000000003F
482.36779|ISTEPS_TRACE|I> TOD:: TOD REGDUMP> INTERNAL PATH CONTROL REG 0x0000000003F30004
482.36781|ISTEPS_TRACE|I> TOD:: TOD REGDUMP> PRIMARY/SECONDARY MASTER/SLAVE CONTROL REG 0x0000000060600000
482.36783|ISTEPS_TRACE|I> TOD:: TOD REGDUMP> CHIP CONTROL REG 0x00000000003F0000
482.36783|ISTEPS_TRACE|I> TOD:: TOD REGDUMP> End
482.36784|ISTEPS_TRACE|<< TOD:: 
482.36785|ISTEPS_TRACE|>> TOD:: TodControls::writeTodProcData
482.36786|ISTEPS_TRACE|>> TOD:: getMaxProcsOnSystem
482.36786|ISTEPS_TRACE|>> TOD:: getMaxConfigParams
482.36788|ISTEPS_TRACE|<< TOD:: 
482.36789|ISTEPS_TRACE|I> TOD:: Maximum procs on system = 0x00000002
482.36791|ISTEPS_TRACE|I> TOD:: Max possible processor chips for this system when configured completely is 2
482.36792|ISTEPS_TRACE|<< TOD:: writeTodProcData. errHdl = 0x0
482.36793|ISTEPS_TRACE|I> TOD:: Clearing the list of garded targets
482.36794|ISTEPS_TRACE|<< TOD:: 
482.36795|ISTEPS_TRACE|>> TOD:: 
482.36795|ISTEPS_TRACE|<< TOD:: 
483.25923|ERRL|I>Got an error log Msg - Type: 0x00000039
483.25924|ERRL|I>Flush message received
483.25926|INITSVC|<<doIstep: step 18, substep 11
483.25927|INITSVC|>>doIstep: step 18, substep 12, task proc_tod_init
