480.41866|ISTEP 16. 4 - mss_scrub
480.46711|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012366 0000000000000000
480.46714|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012355 0000000000000000
480.46717|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012356 0000000000000000
480.46720|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012300 0000000000000000
480.46723|FAPI|gen_mss_mcbist.H: loading MCBIST Address Generation 0x0020000000000000 for pu.mcbist:k0:n0:s0:p00:c0
480.46727|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123D6 0020000000000000
480.46730|FAPI|gen_mss_mcbist.H: load MCBIST parameter register: 0x0708000000000000 for pu.mcbist:k0:n0:s0:p00:c0
480.46733|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123AF 0708000000000000
480.46735|FAPI|gen_mss_mcbist.H: load MCBIST address map register 0: 0x0000000000000000 for pu.mcbist:k0:n0:s0:p00:c0
480.46738|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123C8 0000000000000000
480.46741|FAPI|gen_mss_mcbist.H: load MCBIST address map register 1: 0x0000000000000000 for pu.mcbist:k0:n0:s0:p00:c0
480.46745|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123C9 0000000000000000
480.46747|FAPI|gen_mss_mcbist.H: load MCBIST address map register 2: 0x0000000000000000 for pu.mcbist:k0:n0:s0:p00:c0
480.46751|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123CA 0000000000000000
480.46753|FAPI|gen_mss_mcbist.H: load MCBIST address map register 3: 0x0000000000000000 for pu.mcbist:k0:n0:s0:p00:c0
480.46756|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123CB 0000000000000000
480.46759|FAPI|gen_mss_mcbist.H: pu.mcbist:k0:n0:s0:p00:c0 loading MCBIST Config 0x0000000000000021
480.46762|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123E0 0000000000000021
480.46764|FAPI|gen_mss_mcbist.H: loading MCBIST Control 0x3c00000000000000 for pu.mcbist:k0:n0:s0:p00:c0
480.46767|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 3C00000000000000
480.46769|FAPI|gen_mss_mcbist.H: Loading the data pattern seeds for pu.mcbist:k0:n0:s0:p00:c0!
480.46772|FAPI|gen_mss_mcbist.H: Loading the 24b Random data pattern seeds for pu.mcbist:k0:n0:s0:p00:c0!
480.46774|FAPI|gen_mss_mcbist.H: Loading 24b random seed index 0 for pu.mcbist:k0:n0:s0:p00:c0
480.46776|FAPI|gen_mss_mcbist.H: Loading 24b random seed index 1 for pu.mcbist:k0:n0:s0:p00:c0
480.46778|FAPI|gen_mss_mcbist.H: Loading 24b random seeds 0 and 1 0x0102030405060000 for pu.mcbist:k0:n0:s0:p00:c0
480.46781|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123B2 0102030405060000
480.46783|FAPI|gen_mss_mcbist.H: Loading 24b random seed index 2 for pu.mcbist:k0:n0:s0:p00:c0
480.46785|FAPI|gen_mss_mcbist.H: Loading 24b random seed map index 0  for pu.mcbist:k0:n0:s0:p00:c0
480.46787|FAPI|gen_mss_mcbist.H: Loading 24b random seed map index 1  for pu.mcbist:k0:n0:s0:p00:c0
480.46789|FAPI|gen_mss_mcbist.H: Loading 24b random seed map index 2  for pu.mcbist:k0:n0:s0:p00:c0
480.46791|FAPI|gen_mss_mcbist.H: Loading 24b random seed map index 3  for pu.mcbist:k0:n0:s0:p00:c0
480.46793|FAPI|gen_mss_mcbist.H: Loading 24b random seed map index 4  for pu.mcbist:k0:n0:s0:p00:c0
480.46795|FAPI|gen_mss_mcbist.H: Loading 24b random seed map index 5  for pu.mcbist:k0:n0:s0:p00:c0
480.46797|FAPI|gen_mss_mcbist.H: Loading 24b random seed map index 6  for pu.mcbist:k0:n0:s0:p00:c0
480.46799|FAPI|gen_mss_mcbist.H: Loading 24b random seed map index 7  for pu.mcbist:k0:n0:s0:p00:c0
480.46802|FAPI|gen_mss_mcbist.H: Loading 24b random seed map index 8  for pu.mcbist:k0:n0:s0:p00:c0
480.46805|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123B3 0708090123456780
480.46808|FAPI|gen_mss_mcbist.H: Loading the maint data pattern into the RMW buffer for pu.mcbist:k0:n0:s0:p00:c0!
480.46810|FAPI|gen_mss_mcbist.H: Loading the data rotate config and seeds for pu.mcbist:k0:n0:s0:p00:c0!
480.46813|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123BD 0000000000000000
480.46816|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123BC 0000000000000000
480.46819|FAPI|gen_mss_mcbist.H: load MCBIST threshold register: 0x000fffff340001c0 for pu.mcbist:k0:n0:s0:p00:c0
480.46822|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012357 000FFFFF340001C0
480.46827|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A8 9409718094087104
480.46830|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 3C00000000000000
480.46833|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB BC00000000000000
480.46836|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DC 8000000000000000
480.46838|PRDF|<<[PRDF::startScrub] 
480.46845|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A06 0000000000000000
480.46848|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A07 0002400004640000
480.46852|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A06 0000000000000000
480.46855|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A07 FFC2500005640000
480.46859|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010A04 003FEFFFFEFFFFFF
480.46860|ISTEPS_TRACE|call_mss_scrub: exit
481.70060|ERRL|I>Got an error log Msg - Type: 0x00000039
481.70061|ERRL|I>Flush message received
481.70063|INITSVC|<<doIstep: step 16, substep 4
481.70065|INITSVC|>>doIstep: step 16, substep 5, task host_load_io_ppe
