440.38906|ISTEP 13.11 - mss_draminit_training
440.45430|FAPI|ccs.H: css inst 1 fixup: 0x000008F0CC000000 0x0000000000000020 (0x7012316, 0x7012336) pu.mcbist:k0:n0:s0:p00:c0
440.45432|FAPI|ccs.H: executing CCS array for port 1 (pu.mca:k0:n0:s0:p00:c1)
440.45437|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.45441|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.45445|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.45450|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 8000000000000000
440.45455|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.45457|FAPI|ccs.H: pu.mca:k0:n0:s0:p00:c1 CCS Executed Successfully.
440.45462|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0160701103F 0000000000000000
440.45467|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010913 000024804200120B
440.45471|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007010913 000024804200124B
440.45477|FAPI|ddr_phy.C: pu.mca:k0:n0:s0:p00:c1 resetting errors
440.45483|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000007A0701103F 0000000000000000
440.45488|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000047A0701103F 0000000000000000
440.45493|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000087A0701103F 0000000000000000
440.45498|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C7A0701103F 0000000000000000
440.45503|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000107A0701103F 0000000000000000
440.45508|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000001B0701103F 0000000000000000
440.45513|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000041B0701103F 0000000000000000
440.45517|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000081B0701103F 0000000000000000
440.45522|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C1B0701103F 0000000000000000
440.45527|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000101B0701103F 0000000000000000
440.45533|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000140701103F 0000000000000000
440.45538|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004140701103F 0000000000000000
440.45543|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008140701103F 0000000000000000
440.45548|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C140701103F 0000000000000000
440.45553|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010140701103F 0000000000000000
440.45558|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000100701103F 0000000000000000
440.45563|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004100701103F 0000000000000000
440.45568|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008100701103F 0000000000000000
440.45573|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C100701103F 0000000000000000
440.45578|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010100701103F 0000000000000000
440.45583|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000000E0701103F 0000000000000000
440.45588|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000040E0701103F 0000000000000000
440.45592|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000080E0701103F 0000000000000000
440.45597|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C0E0701103F 0000000000000000
440.45602|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000100E0701103F 0000000000000000
440.45607|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000AE0701103F 0000000000000000
440.45612|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000AF0701103F 0000000000000000
440.45617|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004AE0701103F 0000000000000000
440.45622|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004AF0701103F 0000000000000000
440.45627|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008AE0701103F 0000000000000000
440.45632|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008AF0701103F 0000000000000000
440.45637|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CAE0701103F 0000000000000000
440.45642|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000CAF0701103F 0000000000000000
440.45646|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010AE0701103F 0000000000000000
440.45651|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010AF0701103F 0000000000000000
440.45656|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000D0000701103F 0000000000000000
440.45662|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000D0000701103F 0000000000004000
440.45666|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000D0000701103F 0000000000000000
440.45671|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000D0010701103F 0000000000000000
440.45676|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C8050701103F 0000000000000000
440.45682|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C4080701103F 0000000000000000
440.45687|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000CC030701103F 0000000000000000
440.45689|FAPI|phy_cntrl.H: pc_error_status0: 0x0000000000000000
440.45694|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0120701103F 0000000000000000
440.45695|FAPI|phy_cntrl.H: pc_init_cal_error: 0x0000000000000000
440.45700|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0180701103F 0000000000000000
440.45704|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 0000000007011001 FFFFFFFFFFFFFF7F
440.45707|FAPI|p9_mss_draminit_training.C: resetting delay values before cal pu.mca:k0:n0:s0:p00:c1
440.45713|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800000130701103F 0000000000000000
440.45718|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800004130701103F 0000000000000000
440.45723|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800008130701103F 0000000000000000
440.45728|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 80000C130701103F 0000000000000000
440.45733|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 800010130701103F 0000000000000000
440.45740|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C4120701103F 0000000000005550
440.45745|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C4120701103F 0000000000005559
440.45750|SCAN|TRACE : GETSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0170701103F 0000000000000000
440.45752|FAPI|phy_cntrl.H: Read pc_init_cal_config1: 0x0000000000000000
440.45753|FAPI|phy_cntrl.H: set init_cal refresh_count: 15
440.45754|FAPI|phy_cntrl.H: set init_cal refresh_control: 3
440.45756|FAPI|phy_cntrl.H: set init_cal refresh_all_ranks: high
440.45757|FAPI|phy_cntrl.H: set init_cal snoop_dis: low
440.45758|FAPI|phy_cntrl.H: set init_cal refresh_interval: 19
440.45760|FAPI|phy_cntrl.H: Writing to pc_init_cal_config1: 0x000000000000fe13
440.45765|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0170701103F 000000000000FE13
440.45767|FAPI|p9_mss_draminit_training.C: Execute cal on rp 0 pu.mca:k0:n0:s0:p00:c1
440.53297|FAPI|mss_lrdimm_training.C: Not LRDIMM: deconfigure all LRDIMM specific steps
440.53300|FAPI|mss_training.C: We're not in simulation mode, we can run with all configured steps
440.53304|FAPI|mss_training.C: Configured calibration steps are 0x870ff000 for DIMM type: 1 hardware mode
440.53306|FAPI|mss_training.C: Running factory for cal_steps:0x870ff000 hardware mode
440.53308|FAPI|mss_training.C: Write leveling is enabled
440.53460|FAPI|mss_training.C: Initial pattern write is enabled
440.53461|FAPI|mss_training.C: DQS align is enabled
440.53463|FAPI|mss_training.C: RDCLK align is enabled
440.53465|FAPI|mss_training.C: Read centering is enabled read VREF is enabled
440.53467|FAPI|mss_training.C: Write VREF latching is enabled with WR VREF
440.53469|FAPI|mss_training.C: Write centering is enabled with WR VREF
440.53470|FAPI|mss_training.C: Coarse WR/RD is enabled
440.53621|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 rp0 running WR_LVL
440.53928|FAPI|rank.H: get_pair_valid (rp0, r0): 0x1
440.53929|FAPI|rank.H: get_rank_field (rp0, r0): 0x0
440.53931|FAPI|rank.H: get_pair_valid (rp0, r1): 0x0
440.53932|FAPI|rank.H: get_pair_valid (rp0, r2): 0x0
440.53934|FAPI|rank.H: get_pair_valid (rp0, r3): 0x0
440.53937|FAPI|ddr_phy.C: pu.mca:k0:n0:s0:p00:c1 Setting up terminations for WR_LEVEL, MRANK 0
440.54731|FAPI|mrs02.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR2 rank 0 attributes: LPASR: 0x0, CWL: 0xe, RTT_WR: 0x4(0x0), WRITE_CRC: 0x0
440.54732|FAPI|mrs02.C: MR2: 0x040028f0cc000000
440.54738|FAPI|mrs_load_ddr4.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Turning A17 off
440.54741|FAPI|mrs02.C: MR2 rank 0 deocode: LPASR: 0x0, CWL: 0x4, RTT_WR: 0x0, WRITE_CRC: 0x0
440.54746|FAPI|mrs_load_ddr4.H: MRS02 (8) 0x040028f0cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 a-side
440.54752|FAPI|mrs_load_ddr4.H: MRS02 (8) 0x1bd558f0cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 b-side
440.54770|FAPI|mrs01.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR1 rank 0 attributes: DLL_ENABLE: 0x1, ODIC: 0x22(0x0), AL: 0x0, WLE: 0x0, RTT_NOM:0x6, TDQS: 0x1, QOFF: 0x0
440.54772|FAPI|mrs01.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR1: 0x807048f0cc000000
440.54778|FAPI|mrs_load_ddr4.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Turning A17 off
440.54783|FAPI|mrs01.C: MR1 rank 0 decode: DLL_ENABLE: 0x1, ODIC: 0x0, AL: 0x0, WLE: 0x0, RTT_NOM: 0x6, TDQS: 0x1, QOFF: 0x0
440.54788|FAPI|mrs_load_ddr4.H: MRS01 (8) 0x807048f0cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 a-side
440.54793|FAPI|mrs_load_ddr4.H: MRS01 (8) 0x9fa538f0cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 b-side
440.54797|FAPI|ddr_phy.C: odt_wr_config0: 0x0000000000008000
440.54802|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C40A0701103F 0000000000008000
440.54804|FAPI|ddr_phy.C: odt_wr_config1: 0x0000000000000000
440.54809|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C40B0701103F 0000000000000000
440.54813|FAPI|ccs.H: loading ccs instructions (4) for pu.mcbist:k0:n0:s0:p00:c0
440.54821|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.54825|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
440.54830|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.54831|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
440.54836|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012315 040028F04C000000
440.54840|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012335 0008000000000001
440.54845|FAPI|ccs.H: css inst 0: 0x040028F04C000000 0x0008000000000001 (0x7012315, 0x7012335) delay: 0x8 (0x8) pu.mcbist:k0:n0:s0:p00:c0
440.54850|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012316 1BD558F04C000000
440.54854|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012336 0008000000000002
440.54859|FAPI|ccs.H: css inst 1: 0x1BD558F04C000000 0x0008000000000002 (0x7012316, 0x7012336) delay: 0x8 (0x10) pu.mcbist:k0:n0:s0:p00:c0
440.54864|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012317 807048F04C000000
440.54868|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012337 0008000000000003
440.54873|FAPI|ccs.H: css inst 2: 0x807048F04C000000 0x0008000000000003 (0x7012317, 0x7012337) delay: 0x8 (0x18) pu.mcbist:k0:n0:s0:p00:c0
440.54877|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012318 9FA538F04C000000
440.54881|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012338 0008000000000004
440.54887|FAPI|ccs.H: css inst 3: 0x9FA538F04C000000 0x0008000000000004 (0x7012318, 0x7012338) delay: 0x8 (0x20) pu.mcbist:k0:n0:s0:p00:c0
440.54888|FAPI|conversions.H: converting 32 cycles to 24000ps
440.54891|FAPI|ccs.H: executing ccs instructions (4:4, 24) for pu.mcbist:k0:n0:s0:p00:c0
440.54895|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012319 000008F0CC000000
440.54899|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012339 0000000000000020
440.54904|FAPI|ccs.H: css inst 4 fixup: 0x000008F0CC000000 0x0000000000000020 (0x7012319, 0x7012339) pu.mcbist:k0:n0:s0:p00:c0
440.54906|FAPI|ccs.H: executing CCS array for port 1 (pu.mca:k0:n0:s0:p00:c1)
440.54910|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.54914|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.54919|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.54923|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 8000000000000000
440.54927|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.54929|FAPI|ccs.H: pu.mca:k0:n0:s0:p00:c1 CCS Executed Successfully.
440.54932|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 running WR_LVL workaround setup
440.54941|FAPI|rank.H: get_pair_valid (rp0, r0): 0x1
440.54943|FAPI|rank.H: get_rank_field (rp0, r0): 0x0
440.54944|FAPI|rank.H: get_pair_valid (rp0, r1): 0x0
440.54945|FAPI|rank.H: get_pair_valid (rp0, r2): 0x0
440.54947|FAPI|rank.H: get_pair_valid (rp0, r3): 0x0
440.54949|FAPI|ccs.H: loading ccs instructions (0) for pu.mcbist:k0:n0:s0:p00:c0
440.54957|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.54962|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
440.54966|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.54968|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
440.54970|FAPI|mss_training.C: pu.mca:k0:n0:s0:p00:c1 RP0 running cal step 'WR_LVL'
440.54973|FAPI|conversions.H: converting 2000ps to 3 cycles
440.54976|FAPI|conversions.H: converting 15000ps to 20 cycles
440.54980|FAPI|timing.H: twldqsen 39 for pu.mca:k0:n0:s0:p00:c1
440.54982|FAPI|conversions.H: converting 15000ps to 20 cycles
440.54983|FAPI|timing.H: twlo_twloe 77 for pu.mca:k0:n0:s0:p00:c1
440.54985|FAPI|conversions.H: converting 50260 cycles to 37695000ps
440.54988|FAPI|conversions.H: converting 6282 cycles to 4711500ps
440.54990|FAPI|conversions.H: converting 10000000ps to 13334 cycles
440.54992|FAPI|conversions.H: converting 50260 cycles to 37695000ps
440.54995|FAPI|cal_timers.H: pu.mca:k0:n0:s0:p00:c1 tc: 50260c, id: 4712ns(50256sc), d: 10000(106672sc), pc: 12
440.54998|FAPI|ddr_phy.C: cal_config for pu.mca:k0:n0:s0:p00:c1: 0x0000000000008008
440.55003|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C0160701103F 0000000000008008
440.55005|FAPI|ccs.H: loading ccs instructions (1) for pu.mcbist:k0:n0:s0:p00:c0
440.55014|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.55018|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
440.55022|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.55024|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
440.55028|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012315 000000F0CC0000C0
440.55033|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012335 0000000000000041
440.55038|FAPI|ccs.H: css inst 0: 0x000000F0CC0000C0 0x0000000000000041 (0x7012315, 0x7012335) delay: 0x0 (0x0) pu.mcbist:k0:n0:s0:p00:c0
440.55041|FAPI|ccs.H: executing ccs instructions (1:1, 4712) for pu.mcbist:k0:n0:s0:p00:c0
440.55045|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012316 000008F0CC000000
440.55050|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012336 0000000000000020
440.55054|FAPI|ccs.H: css inst 1 fixup: 0x000008F0CC000000 0x0000000000000020 (0x7012316, 0x7012336) pu.mcbist:k0:n0:s0:p00:c0
440.55056|FAPI|ccs.H: executing CCS array for port 1 (pu.mca:k0:n0:s0:p00:c1)
440.55061|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.55065|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
440.55069|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.55073|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 8000000000000000
440.55078|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.55080|FAPI|ccs.H: pu.mca:k0:n0:s0:p00:c1 CCS Executed Successfully.
440.55086|FAPI|rank.H: get_pair_valid (rp0, r0): 0x1
440.55087|FAPI|rank.H: get_rank_field (rp0, r0): 0x0
440.55089|FAPI|rank.H: get_pair_valid (rp0, r1): 0x0
440.55090|FAPI|rank.H: get_pair_valid (rp0, r2): 0x0
440.55091|FAPI|rank.H: get_pair_valid (rp0, r3): 0x0
440.55094|FAPI|ddr_phy.C: pu.mca:k0:n0:s0:p00:c1 Restoring terminations after WR_LEVEL, MRANK 0
440.55109|FAPI|mrs02.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR2 rank 0 attributes: LPASR: 0x0, CWL: 0xe, RTT_WR: 0x4(0x4), WRITE_CRC: 0x0
440.55110|FAPI|mrs02.C: MR2: 0x041028f0cc000000
440.55116|FAPI|mrs_load_ddr4.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Turning A17 off
440.55119|FAPI|mrs02.C: MR2 rank 0 deocode: LPASR: 0x0, CWL: 0x4, RTT_WR: 0x4, WRITE_CRC: 0x0
440.55124|FAPI|mrs_load_ddr4.H: MRS02 (8) 0x041028f0cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 a-side
440.55129|FAPI|mrs_load_ddr4.H: MRS02 (8) 0x1bc558f0cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 b-side
440.55147|FAPI|mrs01.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR1 rank 0 attributes: DLL_ENABLE: 0x1, ODIC: 0x22(0x0), AL: 0x0, WLE: 0x0, RTT_NOM:0x0, TDQS: 0x1, QOFF: 0x0
440.55149|FAPI|mrs01.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR1: 0x801048f0cc000000
440.55154|FAPI|mrs_load_ddr4.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Turning A17 off
440.55159|FAPI|mrs01.C: MR1 rank 0 decode: DLL_ENABLE: 0x1, ODIC: 0x0, AL: 0x0, WLE: 0x0, RTT_NOM: 0x0, TDQS: 0x1, QOFF: 0x0
440.55164|FAPI|mrs_load_ddr4.H: MRS01 (8) 0x801048f0cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 a-side
440.55169|FAPI|mrs_load_ddr4.H: MRS01 (8) 0x9fc538f0cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 b-side
440.55173|FAPI|ddr_phy.C: odt_wr_config0: 0x0000000000008000
440.55177|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C40A0701103F 0000000000008000
440.55179|FAPI|ddr_phy.C: odt_wr_config1: 0x0000000000000000
440.55184|SCAN|TRACE : PUTSCOM     :  pu.mca:k0:n0:s0:p00:c1 : 8000C40B0701103F 0000000000000000
440.55187|FAPI|ccs.H: loading ccs instructions (4) for pu.mcbist:k0:n0:s0:p00:c0
440.55196|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
440.55200|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
440.55204|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
440.55206|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
440.55211|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012315 041028F04C000000
440.55215|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012335 0008000000000001
