460.94878|ISTEP 15. 1 - host_build_stop_image
462.38283|FAPI|p9_hcode_image_build.C: Multiple EC Level Support  : Yes For Sec Id 0x05 EC : 0x23
462.40074|FAPI|p9_hcode_image_build.C: Multiple EC Level Support  : No For Sec Id 0x06 EC : 0x23
462.40080|FAPI|p9_hcode_image_build.C: Multiple EC Level Support  : No For Sec Id 0x07 EC : 0x23
462.40086|FAPI|p9_hcode_image_build.C: Multiple EC Level Support  : Yes For Sec Id 0x08 EC : 0x23
462.44714|FAPI|p9_hcode_image_build.C: Multiple EC Level Support  : No For Sec Id 0x09 EC : 0x23
462.44716|FAPI|p9_hcode_image_build.C: << buildPgpeImage
462.44718|FAPI|p9_hcode_image_build.C: >> buildPgpeAux
462.44719|FAPI|p9_hcode_image_build.C: << buildPgpeAux
462.44720|FAPI|p9_hcode_image_build.C: PGPE built
462.44721|FAPI|p9_hcode_image_build.C: >> getPpeScanRings
462.54244|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE1,0x20)
462.58282|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x20, ringId=0xe1 size=0x164 rc=0x0
462.62925|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE1,0x0,0x20)
462.62928|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE2,0x20)
462.62952|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x20, ringId=0xe2 size=0x18 rc=0x0
462.62958|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE2,0x0,0x20)
462.62961|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x20)
462.64700|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x20, ringId=0xe4 size=0x18 rc=0x0
462.64706|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x20)
462.64709|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x21)
462.64735|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x21, ringId=0xe4 size=0x1c rc=0x0
462.64741|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x21)
462.64745|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x22)
462.64771|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x22, ringId=0xe4 size=0x1c rc=0x0
462.64777|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x22)
462.64780|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x23)
462.64806|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x23, ringId=0xe4 size=0x1c rc=0x0
462.64812|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x23)
462.64815|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x24)
462.64841|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x24, ringId=0xe4 size=0x1c rc=0x0
462.64847|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x24)
462.64850|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x25)
462.64877|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x25, ringId=0xe4 size=0x18 rc=0x0
462.64884|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x25)
462.64887|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x26)
462.64912|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x26, ringId=0xe4 size=0x1c rc=0x0
462.64918|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x26)
462.64921|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x27)
462.64948|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x27, ringId=0xe4 size=0x1c rc=0x0
462.64954|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x27)
462.64957|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x28)
462.64983|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x28, ringId=0xe4 size=0x1c rc=0x0
462.64989|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x28)
462.64992|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x29)
462.65018|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x29, ringId=0xe4 size=0x18 rc=0x0
462.65024|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x29)
462.65027|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x2a)
462.65054|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x2a, ringId=0xe4 size=0x18 rc=0x0
462.65060|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x2A)
462.65063|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x2b)
462.65091|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x2b, ringId=0xe4 size=0x1c rc=0x0
462.65097|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x2B)
462.65100|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x2c)
462.65127|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x2c, ringId=0xe4 size=0x1c rc=0x0
462.65133|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x2C)
462.65136|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x2d)
462.65164|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x2d, ringId=0xe4 size=0x18 rc=0x0
462.65170|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x2D)
462.65173|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x2e)
462.65200|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x2e, ringId=0xe4 size=0x18 rc=0x0
462.65207|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x2E)
462.65210|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x2f)
462.65237|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x2f, ringId=0xe4 size=0x18 rc=0x0
462.65243|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x2F)
462.65246|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x30)
462.65274|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x30, ringId=0xe4 size=0x18 rc=0x0
462.65280|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x30)
462.65283|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x31)
462.65309|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x31, ringId=0xe4 size=0x1c rc=0x0
462.65314|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x31)
462.65317|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x32)
462.65838|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x32, ringId=0xe4 size=0x1c rc=0x0
462.65845|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x32)
462.65848|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x33)
462.65876|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x33, ringId=0xe4 size=0x1c rc=0x0
462.65882|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x33)
462.65885|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x34)
462.65913|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x34, ringId=0xe4 size=0x1c rc=0x0
462.65920|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x34)
462.65923|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x35)
462.65950|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x35, ringId=0xe4 size=0x1c rc=0x0
462.65956|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x35)
462.65959|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x36)
462.65988|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x36, ringId=0xe4 size=0x1c rc=0x0
462.65994|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x36)
462.65997|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xE4,0x37)
462.66025|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x37, ringId=0xe4 size=0x18 rc=0x0
462.66031|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xE4,0x0,0x37)
462.66033|FAPI_I|p9_xip_customize.C: bootCoreMask value: 0x00ffffff
462.66035|FAPI|p9_hcode_image_build.C: << getPpeScanRings 
462.70457|FAPI|p9_hcode_image_build.C: << layoutCmnRingsForCme
462.72021|FAPI|p9_hcode_image_build.C: << layoutInstRingsForCme
462.72023|FAPI|p9_hcode_image_build.C: << layoutRingsForCME
462.72026|FAPI|p9_hcode_image_build.C: >> getPpeScanRings
462.72048|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xAD,0x10)
462.72071|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xad size=0x10 rc=0x0
462.74035|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xAE,0x10)
462.74058|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xae size=0x10 rc=0x0
462.74063|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB1,0x10)
462.74085|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xb1 size=0x18 rc=0x0
462.74102|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xB1,0x0,0x10)
462.74105|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB2,0x10)
462.74127|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xb2 size=0x10 rc=0x0
462.74132|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB5,0x10)
462.74154|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xb5 size=0x1c rc=0x0
462.74172|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xB5,0x0,0x10)
462.74176|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB6,0x10)
462.74197|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xb6 size=0x10 rc=0x0
462.74203|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB8,0x10)
462.74224|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xb8 size=0x10 rc=0x0
462.74232|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xBB,0x10)
462.74254|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xbb size=0x10 rc=0x0
462.74261|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xBD,0x10)
462.74284|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xbd size=0x10 rc=0x0
462.74291|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDC,0x10)
462.74312|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xdc size=0x18 rc=0x0
462.74321|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDC,0x0,0x10)
462.74324|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB9,0x10)
462.74344|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xb9 size=0x134 rc=0x0
462.74352|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xB9,0x0,0x10)
462.74355|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDD,0x10)
462.74377|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xdd size=0x10 rc=0x0
462.74383|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDE,0x10)
462.74406|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xde size=0x10 rc=0x0
462.74411|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDF,0x10)
462.74436|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xdf size=0x30 rc=0x0
462.74444|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDF,0x0,0x10)
462.74448|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB9,0x10)
462.74467|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xb9 size=0x134 rc=0x0
462.74476|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xB9,0x1,0x10)
462.74479|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDD,0x10)
462.74501|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xdd size=0x10 rc=0x0
462.74507|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDE,0x10)
462.74530|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xde size=0x10 rc=0x0
462.74536|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDF,0x10)
462.74561|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x10, ringId=0xdf size=0x34 rc=0x0
462.74570|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDF,0x1,0x10)
462.74573|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDC,0x11)
462.74594|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x11, ringId=0xdc size=0x18 rc=0x0
462.74603|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDC,0x0,0x11)
462.74606|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB9,0x11)
462.74625|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x11, ringId=0xb9 size=0x134 rc=0x0
462.74634|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xB9,0x0,0x11)
462.74637|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDD,0x11)
462.74659|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x11, ringId=0xdd size=0x10 rc=0x0
462.74664|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDE,0x11)
462.74688|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x11, ringId=0xde size=0x10 rc=0x0
462.74693|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDF,0x11)
462.74718|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x11, ringId=0xdf size=0x5c rc=0x0
462.74727|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDF,0x0,0x11)
462.74730|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB9,0x11)
462.74749|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x11, ringId=0xb9 size=0x134 rc=0x0
462.74758|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xB9,0x1,0x11)
462.74761|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDD,0x11)
462.74783|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x11, ringId=0xdd size=0x10 rc=0x0
462.74788|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDE,0x11)
462.74812|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x11, ringId=0xde size=0x10 rc=0x0
462.74817|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDF,0x11)
462.74841|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x11, ringId=0xdf size=0x50 rc=0x0
462.74850|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDF,0x1,0x11)
462.74853|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDC,0x12)
462.74875|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x12, ringId=0xdc size=0x18 rc=0x0
462.74884|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xDC,0x0,0x12)
462.74887|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xB9,0x12)
462.74906|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x12, ringId=0xb9 size=0x134 rc=0x0
462.74915|FAPI|p9_xip_customize.C: Successfully added VPD ring: (ringId,evenOdd,chipletId)=(0xB9,0x0,0x12)
462.74918|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDD,0x12)
462.74940|FAPI_I|p9_mvpd_ring_funcs.C: mvpdRingFuncFind: exit chipletId=0x12, ringId=0xdd size=0x10 rc=0x0
462.74945|FAPI|p9_xip_customize.C: _fetch_and_insert_vpd_ring: (ringId,chipletId) = (0xDE,0x12)
