439.60572|ISTEP 13.10 - mss_draminit
439.67418|FAPI|control_word_ddr4.H: F0RC02X value 0x0 (8 cycles) 0x00407800cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67425|FAPI|control_word_ddr4.H: F0RC03X value 0x47 (6667 cycles) 0xe2c07800cc000000:0x1a0b000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67432|FAPI|control_word_ddr4.H: F0RC04X value 0x0 (8 cycles) 0x00207800cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67439|FAPI|control_word_ddr4.H: F0RC05X value 0x0 (8 cycles) 0x00a07800cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67446|FAPI|control_word_ddr4.H: F0RC06X value 0x0 (8 cycles) 0x00607800cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67453|FAPI|control_word_ddr4.H: F0RC07X value 0x0 (16 cycles) 0x00e07800cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67459|FAPI|control_word_ddr4.H: F0RC08X value 0x0 (8 cycles) 0x00107800cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67466|FAPI|control_word_ddr4.H: F0RC09X value 0x0 (8 cycles) 0x00907800cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67471|FAPI|control_word_ddr4.H: F0RC0aX value 0x0 (8 cycles) 0x00507800cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67477|FAPI|control_word_ddr4.H: F0RC0bX value 0x7 (16 cycles) 0xe0d07800cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.67482|FAPI|control_word_ddr4.H: F0RC09 value 0xc (8 cycles) 0x390078c0cc000000:0x0008000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.68410|FAPI|draminit_workarounds.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) running the DRAM RCW DRAM reset workaround
439.68416|FAPI|control_word_ddr4.H: F0RC06 value 0x2 (8000 cycles) 0x460078c0cc000000:0x1f40000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.68422|FAPI|control_word_ddr4.H: F0RC06 value 0x3 (8000 cycles) 0xc60078c0cc000000:0x1f40000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.68426|FAPI|ccs.H: loading ccs instructions (29) for pu.mcbist:k0:n0:s0:p00:c0
439.68435|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
439.68439|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
439.68445|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
439.68446|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
439.68452|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012315 00000800CC000000
439.68457|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012335 0004000000000001
439.68463|FAPI|ccs.H: css inst 0: 0x00000800CC000000 0x0004000000000001 (0x7012315, 0x7012335) delay: 0x4 (0x4) pu.mcbist:k0:n0:s0:p00:c0
439.68467|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012316 400078004C000000
439.68472|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012336 0008000000000002
439.68477|FAPI|ccs.H: css inst 1: 0x400078004C000000 0x0008000000000002 (0x7012316, 0x7012336) delay: 0x8 (0xc) pu.mcbist:k0:n0:s0:p00:c0
439.68482|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012317 080078004C000000
439.68486|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012337 0008000000000003
439.68492|FAPI|ccs.H: css inst 2: 0x080078004C000000 0x0008000000000003 (0x7012317, 0x7012337) delay: 0x8 (0x14) pu.mcbist:k0:n0:s0:p00:c0
439.68496|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012318 840078004C000000
439.68501|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012338 1A0B000000000004
439.68506|FAPI|ccs.H: css inst 3: 0x840078004C000000 0x1A0B000000000004 (0x7012318, 0x7012338) delay: 0x1a0b (0x1a1f) pu.mcbist:k0:n0:s0:p00:c0
439.68511|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012319 0C0078004C000000
439.68515|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012339 0010000000000005
439.68521|FAPI|ccs.H: css inst 4: 0x0C0078004C000000 0x0010000000000005 (0x7012319, 0x7012339) delay: 0x10 (0x1a2f) pu.mcbist:k0:n0:s0:p00:c0
439.68525|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701231A 020078004C000000
439.68530|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701233A 0010000000000006
439.68535|FAPI|ccs.H: css inst 5: 0x020078004C000000 0x0010000000000006 (0x701231a, 0x701233a) delay: 0x10 (0x1a3f) pu.mcbist:k0:n0:s0:p00:c0
439.68540|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701231B 0A0078004C000000
439.68544|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701233B 0010000000000007
439.68550|FAPI|ccs.H: css inst 6: 0x0A0078004C000000 0x0010000000000007 (0x701231b, 0x701233b) delay: 0x10 (0x1a4f) pu.mcbist:k0:n0:s0:p00:c0
439.68555|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701231C F60078004C000000
439.68559|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701233C 0020000000000008
439.68565|FAPI|ccs.H: css inst 7: 0xF60078004C000000 0x0020000000000008 (0x701231c, 0x701233c) delay: 0x20 (0x1a6f) pu.mcbist:k0:n0:s0:p00:c0
439.68570|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701231D D10078004C000000
439.68574|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701233D 0008000000000009
439.68580|FAPI|ccs.H: css inst 8: 0xD10078004C000000 0x0008000000000009 (0x701231d, 0x701233d) delay: 0x8 (0x1a77) pu.mcbist:k0:n0:s0:p00:c0
439.68584|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701231E 250078004C000000
439.68588|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701233E 1A0B00000000000A
439.68594|FAPI|ccs.H: css inst 9: 0x250078004C000000 0x1A0B00000000000A (0x701231e, 0x701233e) delay: 0x1a0b (0x3482) pu.mcbist:k0:n0:s0:p00:c0
439.68599|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701231F 7D0078004C000000
439.68603|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701233F 001000000000000B
439.68609|FAPI|ccs.H: css inst 10: 0x7D0078004C000000 0x001000000000000B (0x701231f, 0x701233f) delay: 0x10 (0x3492) pu.mcbist:k0:n0:s0:p00:c0
439.68614|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012320 030078004C000000
439.68618|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012340 000800000000000C
439.68624|FAPI|ccs.H: css inst 11: 0x030078004C000000 0x000800000000000C (0x7012320, 0x7012340) delay: 0x8 (0x349a) pu.mcbist:k0:n0:s0:p00:c0
439.68629|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012321 2B0078004C000000
439.68633|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012341 002000000000000D
439.68639|FAPI|ccs.H: css inst 12: 0x2B0078004C000000 0x002000000000000D (0x7012321, 0x7012341) delay: 0x20 (0x34ba) pu.mcbist:k0:n0:s0:p00:c0
439.68644|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012322 B70078004C000000
439.68648|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012342 000800000000000E
439.68654|FAPI|ccs.H: css inst 13: 0xB70078004C000000 0x000800000000000E (0x7012322, 0x7012342) delay: 0x8 (0x34c2) pu.mcbist:k0:n0:s0:p00:c0
439.68658|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012323 0F0078004C000000
439.68663|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012343 002000000000000F
439.68668|FAPI|ccs.H: css inst 14: 0x0F0078004C000000 0x002000000000000F (0x7012323, 0x7012343) delay: 0x20 (0x34e2) pu.mcbist:k0:n0:s0:p00:c0
439.68673|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012324 008078004C000000
439.68677|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012344 0008000000000010
439.68683|FAPI|ccs.H: css inst 15: 0x008078004C000000 0x0008000000000010 (0x7012324, 0x7012344) delay: 0x8 (0x34ea) pu.mcbist:k0:n0:s0:p00:c0
439.68688|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012325 004078004C000000
439.68692|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012345 0008000000000011
439.68698|FAPI|ccs.H: css inst 16: 0x004078004C000000 0x0008000000000011 (0x7012325, 0x7012345) delay: 0x8 (0x34f2) pu.mcbist:k0:n0:s0:p00:c0
439.68702|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012326 E2C078004C000000
439.68707|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012346 1A0B000000000012
439.68712|FAPI|ccs.H: css inst 17: 0xE2C078004C000000 0x1A0B000000000012 (0x7012326, 0x7012346) delay: 0x1a0b (0x4efd) pu.mcbist:k0:n0:s0:p00:c0
439.68717|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012327 002078004C000000
439.68721|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012347 0008000000000013
439.68727|FAPI|ccs.H: css inst 18: 0x002078004C000000 0x0008000000000013 (0x7012327, 0x7012347) delay: 0x8 (0x4f05) pu.mcbist:k0:n0:s0:p00:c0
439.68732|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012328 00A078004C000000
439.68736|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012348 0008000000000014
439.68742|FAPI|ccs.H: css inst 19: 0x00A078004C000000 0x0008000000000014 (0x7012328, 0x7012348) delay: 0x8 (0x4f0d) pu.mcbist:k0:n0:s0:p00:c0
439.68746|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012329 006078004C000000
439.68750|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012349 0008000000000015
439.68756|FAPI|ccs.H: css inst 20: 0x006078004C000000 0x0008000000000015 (0x7012329, 0x7012349) delay: 0x8 (0x4f15) pu.mcbist:k0:n0:s0:p00:c0
439.68761|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701232A 00E078004C000000
439.68765|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701234A 0010000000000016
439.68771|FAPI|ccs.H: css inst 21: 0x00E078004C000000 0x0010000000000016 (0x701232a, 0x701234a) delay: 0x10 (0x4f25) pu.mcbist:k0:n0:s0:p00:c0
439.68775|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701232B 001078004C000000
439.68780|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701234B 0008000000000017
439.68786|FAPI|ccs.H: css inst 22: 0x001078004C000000 0x0008000000000017 (0x701232b, 0x701234b) delay: 0x8 (0x4f2d) pu.mcbist:k0:n0:s0:p00:c0
439.68790|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701232C 009078004C000000
439.68795|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701234C 0008000000000018
439.68800|FAPI|ccs.H: css inst 23: 0x009078004C000000 0x0008000000000018 (0x701232c, 0x701234c) delay: 0x8 (0x4f35) pu.mcbist:k0:n0:s0:p00:c0
439.68805|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701232D 005078004C000000
439.68810|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701234D 0008000000000019
439.68815|FAPI|ccs.H: css inst 24: 0x005078004C000000 0x0008000000000019 (0x701232d, 0x701234d) delay: 0x8 (0x4f3d) pu.mcbist:k0:n0:s0:p00:c0
439.68820|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701232E E0D078004C000000
439.68824|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701234E 001000000000001A
439.68830|FAPI|ccs.H: css inst 25: 0xE0D078004C000000 0x001000000000001A (0x701232e, 0x701234e) delay: 0x10 (0x4f4d) pu.mcbist:k0:n0:s0:p00:c0
439.68834|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701232F 390078C04C000000
439.68839|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 000000000701234F 000800000000001B
439.68844|FAPI|ccs.H: css inst 26: 0x390078C04C000000 0x000800000000001B (0x701232f, 0x701234f) delay: 0x8 (0x4f55) pu.mcbist:k0:n0:s0:p00:c0
439.68849|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012330 460078C04C000000
439.68853|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012350 1F4000000000001C
439.68859|FAPI|ccs.H: css inst 27: 0x460078C04C000000 0x1F4000000000001C (0x7012330, 0x7012350) delay: 0x1f40 (0x6e95) pu.mcbist:k0:n0:s0:p00:c0
439.68864|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012331 C60078C04C000000
439.68868|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012351 1F4000000000001D
439.68874|FAPI|ccs.H: css inst 28: 0xC60078C04C000000 0x1F4000000000001D (0x7012331, 0x7012351) delay: 0x1f40 (0x8dd5) pu.mcbist:k0:n0:s0:p00:c0
439.68876|FAPI|conversions.H: converting 36309 cycles to 27231750ps
439.68878|FAPI|ccs.H: executing ccs instructions (29:29, 27232) for pu.mcbist:k0:n0:s0:p00:c0
439.68883|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012332 000008C0CC000000
439.68887|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 0000000007012352 0000000000000020
439.68892|FAPI|ccs.H: css inst 29 fixup: 0x000008C0CC000000 0x0000000000000020 (0x7012332, 0x7012352) pu.mcbist:k0:n0:s0:p00:c0
439.68894|FAPI|ccs.H: executing CCS array for port 1 (pu.mca:k0:n0:s0:p00:c1)
439.68898|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
439.68903|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123DB 1000000000000000
439.68907|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
439.68912|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 8000000000000000
439.68919|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
439.68921|FAPI|ccs.H: pu.mca:k0:n0:s0:p00:c1 CCS Executed Successfully.
439.69083|FAPI|bcw_load.C: Skipping BCW loading for dimm:k0:n0:s0:p02 RDIMM (DDR4) since this is valid only for LRDIMMs
439.69085|FAPI|ccs.H: loading ccs instructions (0) for pu.mcbist:k0:n0:s0:p00:c0
439.69094|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 0000000000000000
439.69098|SCAN|TRACE : PUTSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A5 4000000000000000
439.69103|SCAN|TRACE : GETSCOM     :  pu.mcbist:k0:n0:s0:p00:c0 : 00000000070123A6 4000000000000000
439.69106|FAPI|ccs.H: ccs statq (stop) 0x4000000000000000, remaining: 50
439.69116|FAPI|mrs_load_ddr4.C: ddr4::mrs_load dimm:k0:n0:s0:p02 RDIMM (DDR4)
439.69120|FAPI|conversions.H: converting 15000ps to 20 cycles
439.72749|FAPI|mrs03.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR3 attributes: MPR_MODE: 0x0, MPR_PAGE: 0x0, GD: 0x0, PDA: 0x0, TEMP: 0x0 FR: 0x0, CRC_WL: 0x5, RF: 0x0
439.72752|FAPI|mrs03.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR3: 0x004068f0cc000000
439.72758|FAPI|mrs_load_ddr4.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Turning A17 off
439.72763|FAPI|mrs03.C: MR3 rank 0 decode: MPR_MODE: 0x0, MPR_PAGE: 0x0, GD: 0x0, PDA: 0x0, TEMP: 0x0 FR: 0x0, CRC_WL: 0x1, RF: 0x0
439.72769|FAPI|mrs_load_ddr4.H: MRS03 (16) 0x004068f0cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 a-side
439.72775|FAPI|mrs_load_ddr4.H: MRS03 (16) 0x1f9518f0cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 b-side
439.72787|FAPI|mrs06.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR6 rank 0 attributes: TRAIN_V: 0xd(0xd), TRAIN_R: 0x0, TRAIN_E: 0x0, TCCD_L: 0x7(0x3)
439.72789|FAPI|mrs06.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR6: 0xb03038f0cc000000
439.72795|FAPI|mrs_load_ddr4.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Turning A17 off
439.72798|FAPI|mrs06.C: MR6 rank 0 decode: TRAIN_V: 0xd, TRAIN_R: 0x0, TRAIN_E: 0x0, TCCD_L: 0x3
439.72803|FAPI|mrs_load_ddr4.H: MRS06 (16) 0xb03038f0cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 a-side
439.72809|FAPI|mrs_load_ddr4.H: MRS06 (16) 0xafe548f0cc000000:0x0010000000000000 dimm:k0:n0:s0:p02 RDIMM (DDR4):rank 0 b-side
439.72982|FAPI|mrs05.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR5 rank 0 attributes: CAPL: 0x0(0x0), CRC_EC: 0x0, CA_PES: 0x0, ODT_IB: 0x0 RTT_PARK: 0x0, CAP: 0x0, DM: 0x0, WDBI: 0x0, RDBI: 0x0
439.72985|FAPI|mrs05.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) MR5: 0x000058f0cc000000
439.72990|FAPI|mrs_load_ddr4.C: dimm:k0:n0:s0:p02 RDIMM (DDR4) Turning A17 off
